"GDP pc","Argentina","Australia","Austria","Belgium","Brazil","Canada","Chile","China","Colombia","Denmark","Egypt","Finland","France","Germany","Greece","Iceland","India","Indonesia","Italy","Japan","Korea","Mexico","Malaysia","Netherlands","New Zealand","Norway","Peru","Philippines","Portugal","Russia","S. Africa","Singapore","Spain","Sri Lanka","Sweden","Switzerland","Taiwan","Turkey","United Kingdom","Uruguay","United States","Venezuela"
"Indexes, 2006=100","YPCINXAR","YPCINXASL","YPCINXAUT","YPCINXBE","YPCINXBR","YPCINXCA","YPCINXCHL","YPCINXCH","YPCINXCO","YPCINXDE","YPCINXEG","YPCINXFI","YPCINXFR","YPCINXGE","YPCINXGR","YPCINXICE","YPCINXIN","YPCINXINO","YPCINXIT","YPCINXJA","YPCINXKO","YPCINXME","YPCINXMY","YPCINXNE","YPCINXNZ","YPCINXNO","YPCINXPE","YPCINXPH","YPCINXPO","YPCINXRS","YPCINXSAF","YPCINXSI","YPCINXSP","YPCINXSR","YPCINXSW","YPCINXSZ","YPCINXTA","YPCINXTU","YPCINXUK","YPCINXUR","YPCINXUS","YPCINXVE"
"1790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.9051271295753391",NA
"1791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.9207334379394814",NA
"1792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.9799539712387841",NA
"1793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.0725307178834438",NA
"1794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.1599792835859861",NA
"1795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.2361915471063698",NA
"1796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.2151746796278844",NA
"1797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.1072497493577313",NA
"1798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.0394209431795254",NA
