"country","year","cpicss"
"Brazil",1863,9.6526
"Brazil",1864,10.3088
"Brazil",1865,10.965
"Brazil",1866,11.1837
"Brazil",1867,11.3929
"Brazil",1868,12.4961
"Brazil",1869,12.7148
"Brazil",1870,12.4961
"Brazil",1871,11.6212
"Brazil",1872,12.4961
"Brazil",1873,12.2869
"Brazil",1874,12.7148
"Brazil",1875,11.3929
"Brazil",1876,12.2869
"Brazil",1877,12.7148
"Brazil",1878,12.2869
"Brazil",1879,11.8399
"Brazil",1880,10.965
"Brazil",1881,11.1837
"Brazil",1882,11.3929
"Brazil",1883,11.1837
"Brazil",1884,10.965
"Brazil",1885,10.965
"Brazil",1886,10.5275
"Brazil",1887,10.0806
"Brazil",1888,9.8618
"Brazil",1889,11.3929
"Brazil",1890,11.3929
"Brazil",1891,14.2554
"Brazil",1892,17.7551
"Brazil",1893,20.5986
"Brazil",1894,20.8363
"Brazil",1895,19.077
"Brazil",1896,20.1706
"Brazil",1897,23.6798
"Brazil",1898,24.783
"Brazil",1899,24.1173
"Brazil",1900,21.9205
"Brazil",1901,19.077
"Brazil",1902,16.652
"Brazil",1903,16.4427
"Brazil",1904,17.3177
"Brazil",1905,16.2335
"Brazil",1906,15.5678
"Brazil",1907,16.4427
"Brazil",1908,17.3177
"Brazil",1909,17.0989
"Brazil",1910,16.8897
"Brazil",1911,16.4427
"Brazil",1912,16.2145
"Brazil",1913,16.4405
"Brazil",1914,16.4405
"Brazil",1915,17.9094
"Brazil",1916,19.2653
"Brazil",1917,21.1297
"Brazil",1918,23.7285
"Brazil",1919,24.5194
"Brazil",1920,26.9488
"Brazil",1921,27.7397
"Brazil",1922,29.9996
"Brazil",1923,33.3894
"Brazil",1924,39.039
"Brazil",1925,41.6379
"Brazil",1926,42.9373
"Brazil",1927,44.0672
"Brazil",1928,43.4457
"Brazil",1929,43.1068
"Brazil",1930,39.2085
"Brazil",1931,37.7961
"Brazil",1932,37.9091
"Brazil",1933,37.6266
"Brazil",1934,40.5079
"Brazil",1935,43.9013598
"Brazil",1936,50.8910217
"Brazil",1937,55.2469481
"Brazil",1938,56.0664
