"country","year","pb","d"
"Argentina",1800,NA,NA
"Argentina",1801,NA,NA
"Argentina",1802,NA,NA
"Argentina",1803,NA,NA
"Argentina",1804,NA,NA
"Argentina",1805,NA,NA
"Argentina",1806,NA,NA
"Argentina",1807,NA,NA
"Argentina",1808,NA,NA
"Argentina",1809,NA,NA
"Argentina",1810,NA,NA
"Argentina",1811,NA,NA
"Argentina",1812,NA,NA
"Argentina",1813,NA,NA
"Argentina",1814,NA,NA
"Argentina",1815,NA,NA
"Argentina",1816,NA,NA
"Argentina",1817,NA,NA
"Argentina",1818,NA,NA
"Argentina",1819,NA,NA
"Argentina",1820,NA,NA
"Argentina",1821,NA,NA
"Argentina",1822,NA,NA
"Argentina",1823,NA,NA
"Argentina",1824,NA,NA
"Argentina",1825,NA,NA
"Argentina",1826,NA,NA
"Argentina",1827,NA,NA
"Argentina",1828,NA,NA
"Argentina",1829,NA,NA
"Argentina",1830,NA,NA
"Argentina",1831,NA,NA
"Argentina",1832,NA,NA
"Argentina",1833,NA,NA
"Argentina",1834,NA,NA
"Argentina",1835,NA,NA
"Argentina",1836,NA,NA
"Argentina",1837,NA,NA
"Argentina",1838,NA,NA
"Argentina",1839,NA,NA
"Argentina",1840,NA,NA
"Argentina",1841,NA,NA
"Argentina",1842,NA,NA
"Argentina",1843,NA,NA
"Argentina",1844,NA,NA
"Argentina",1845,NA,NA
"Argentina",1846,NA,NA
"Argentina",1847,NA,NA
"Argentina",1848,NA,NA
"Argentina",1849,NA,NA
"Argentina",1850,NA,NA
"Argentina",1851,NA,NA
"Argentina",1852,NA,NA
"Argentina",1853,NA,NA
"Argentina",1854,NA,NA
"Argentina",1855,NA,NA
"Argentina",1856,NA,NA
"Argentina",1857,NA,NA
"Argentina",1858,NA,NA
"Argentina",1859,NA,NA
"Argentina",1860,NA,NA
"Argentina",1861,NA,NA
"Argentina",1862,NA,NA
"Argentina",1863,NA,NA
"Argentina",1864,NA,6.23999977111816
"Argentina",1865,-0.0937139987945557,6.61999988555908
"Argentina",1866,-1.22291004657745,9.76500034332275
"Argentina",1867,-0.156370997428894,12.9099998474121
"Argentina",1868,-1.01013994216919,17.1599998474121
"Argentina",1869,-0.387789011001587,16.4099998474121
"Argentina",1870,-0.273512005805969,18.5400009155273
"Argentina",1871,-3.31462001800537,32.8199996948242
"Argentina",1872,1.2904599905014,28.6399993896484
"Argentina",1873,1.22327995300293,26.6299991607666
"Argentina",1874,-0.307157009840012,26.3099994659424
"Argentina",1875,-0.802877008914948,26.5799999237061
"Argentina",1876,-1.98739004135132,28.4400005340576
"Argentina",1877,0.285037994384766,23.3700008392334
"Argentina",1878,1.06418001651764,23.7900009155273
"Argentina",1879,1.15008997917175,23.1299991607666
"Argentina",1880,NA,25.8700008392334
"Argentina",1881,-0.406455993652344,29.1499996185303
"Argentina",1882,-3.45372009277344,25.8700008392334
"Argentina",1883,-2.14141011238098,24.9099998474121
"Argentina",1884,-2.06962990760803,21.9099998474121
"Argentina",1885,-0.226107999682426,23.3199996948242
"Argentina",1886,0.176897004246712,23.9799995422363
"Argentina",1887,2.46054005622864,21.1700000762939
"Argentina",1888,1.16972994804382,38.6800003051758
"Argentina",1889,NA,47.8199996948242
"Argentina",1890,0.807654023170471,72.1399993896484
"Argentina",1891,-0.781651020050049,117.720001220703
"Argentina",1892,0.871185004711151,93.7300033569336
"Argentina",1893,2.2806499004364,83.8099975585938
"Argentina",1894,1.79785001277924,71.1900024414062
"Argentina",1895,0.761180996894836,61.1699981689453
"Argentina",1896,-2.43215990066528,48.3400001525879
"Argentina",1897,0.920867025852203,66.4000015258789
"Argentina",1898,-6.34422016143799,61.8199996948242
"Argentina",1899,2.50027990341187,61.4700012207031
"Argentina",1900,2.82588005065918,53.9700012207031
"Argentina",1901,2.85971999168396,50.9500007629395
"Argentina",1902,1.0161600112915,48.1800003051758
"Argentina",1903,3.25901007652283,40.810001373291
"Argentina",1904,2.71860003471375,37.3400001525879
"Argentina",1905,-1.2949800491333,27.7199993133545
"Argentina",1906,1.80195999145508,25.4899997711182
"Argentina",1907,1.8567099571228,27.2299995422363
"Argentina",1908,2.10172009468079,23
"Argentina",1909,-1.09338998794556,24.5200004577637
"Argentina",1910,-0.831128001213074,22.4500007629395
"Argentina",1911,-0.680000007152557,26.0799999237061
"Argentina",1912,0.631905972957611,22.9899997711182
"Argentina",1913,0.875045001506805,22.7399997711182
"Argentina",1914,-1.269700050354,24.6499996185303
"Argentina",1915,-1.04553997516632,23.1399993896484
"Argentina",1916,-0.61607700586319,22
"Argentina",1917,-0.648618996143341,21.6900005340576
"Argentina",1918,0.229427993297577,15.039999961853
"Argentina",1919,1.01352000236511,14.4499998092651
"Argentina",1920,1.26747000217438,11.8599996566772
"Argentina",1921,0.306609004735947,13.9899997711182
"Argentina",1922,-0.486039012670517,14.9700002670288
"Argentina",1923,0.289765000343323,13.6099996566772
"Argentina",1924,0.513584017753601,14
"Argentina",1925,0.732604026794434,16.1499996185303
"Argentina",1926,0.415109008550644,17.4300003051758
"Argentina",1927,-1.66312003135681,19.2900009155273
"Argentina",1928,0.118323996663094,19.1700000762939
"Argentina",1929,-0.17841599881649,17.9400005340576
"Argentina",1930,-1.9400600194931,19.0799999237061
"Argentina",1931,-0.576959013938904,24.3199996948242
"Argentina",1932,1.95142996311188,28.2000007629395
"Argentina",1933,1.61339998245239,28.8999996185303
"Argentina",1934,0.560616016387939,26.4699993133545
"Argentina",1935,0.509028971195221,30.0400009155273
"Argentina",1936,-0.00812499970197678,31.4699993133545
